fiscal_year,payroll_number,agency_name,agency_start_date,work_location_borough,title_description,leave_status,base_salary,pay_basis,regular_hours,regular_gross_paid,ot_hours,total_ot_paid,total_other_pay,is_manager,is_violation
2025,740,DEPARTMENT OF EDUCATION ADMIN,4/4/2024,BRONX,COMMUNITY ASSISTANT,ACTIVE,37697,per Annum,1820,36531.83,2.5,74.94,10.75,FALSE,FALSE
2025,69,HRA/DEPT OF SOCIAL SERVICES,4/22/2024,BRONX,CLERICAL ASSOCIATE MOST MAYORAL AG,ACTIVE,38174,per Annum,1820,36994.13,165.75,4330.55,0,FALSE,FALSE
2025,69,HRA/DEPT OF SOCIAL SERVICES,2/12/2024,BRONX,CLERICAL ASSOCIATE MOST MAYORAL AG,ACTIVE,38174,per Annum,1820,36994.13,29.5,805.45,244.14,FALSE,FALSE
2025,56,POLICE DEPARTMENT,1/19/2024,BRONX,SCHOOL SAFETY AGENT,ACTIVE,39206,per Annum,2077.72,34569.86,221,5847.2,1520.65,FALSE,FALSE
2025,56,POLICE DEPARTMENT,6/21/2024,BRONX,SCHOOL SAFETY AGENT,ACTIVE,39206,per Annum,1996.57,36962,307,8446.04,1500,FALSE,FALSE
2025,56,POLICE DEPARTMENT,6/21/2024,BRONX,SCHOOL SAFETY AGENT,ACTIVE,39206,per Annum,1996.57,35924.44,405,10918.45,1518.78,FALSE,FALSE
2025,56,POLICE DEPARTMENT,6/21/2024,BRONX,SCHOOL SAFETY AGENT,ACTIVE,39206,per Annum,1996.57,36490.27,255.25,7022.64,1500,FALSE,FALSE
2025,56,POLICE DEPARTMENT,1/19/2024,BRONX,SCHOOL SAFETY AGENT,ACTIVE,39206,per Annum,2080,34281.65,125.25,3061.03,1616.99,FALSE,FALSE
2025,56,POLICE DEPARTMENT,6/21/2024,BRONX,SCHOOL SAFETY AGENT,ACTIVE,39206,per Annum,1996.57,36263.5,159,4383.65,1572.92,FALSE,FALSE
2025,56,POLICE DEPARTMENT,1/19/2024,BRONX,SCHOOL SAFETY AGENT,ACTIVE,39206,per Annum,2080,32692.87,199.25,5368.97,1507.3,FALSE,FALSE
2025,56,POLICE DEPARTMENT,6/21/2024,BRONX,SCHOOL SAFETY AGENT,ACTIVE,39206,per Annum,1996.57,36669.1,230.5,6393.49,1859.41,FALSE,FALSE
2025,56,POLICE DEPARTMENT,12/8/2023,BRONX,SCHOOL SAFETY AGENT,ACTIVE,39206,per Annum,1904,34665.37,480.25,13115.16,1505.1,FALSE,FALSE
2025,56,POLICE DEPARTMENT,1/19/2024,BRONX,SCHOOL SAFETY AGENT,ACTIVE,39206,per Annum,2080,37783.87,473.25,12849.42,1523.53,FALSE,FALSE
2025,56,POLICE DEPARTMENT,6/21/2024,BRONX,SCHOOL SAFETY AGENT,ACTIVE,39206,per Annum,1996.57,35809.51,346,9517.07,1572.92,FALSE,FALSE
2025,56,POLICE DEPARTMENT,6/21/2024,BRONX,SCHOOL SAFETY AGENT,ACTIVE,39206,per Annum,1996.57,37054.48,235,6479.9,1500,FALSE,FALSE
2025,56,POLICE DEPARTMENT,8/21/2018,BRONX,SCHOOL SAFETY AGENT,ACTIVE,39206,per Annum,2026.57,38322.64,238.75,6571.67,1583.43,FALSE,FALSE
2025,56,POLICE DEPARTMENT,6/21/2024,BRONX,SCHOOL SAFETY AGENT,ACTIVE,39206,per Annum,1996.57,37067.82,123.5,3400.21,1500,FALSE,FALSE
2025,56,POLICE DEPARTMENT,6/21/2024,BRONX,SCHOOL SAFETY AGENT,ACTIVE,39206,per Annum,1894,36496.44,400.25,11014.3,1489.32,FALSE,FALSE
2025,56,POLICE DEPARTMENT,6/21/2024,BRONX,SCHOOL SAFETY AGENT,ACTIVE,39206,per Annum,1996.57,35522.69,189.5,5099.61,1504.69,FALSE,FALSE
2025,56,POLICE DEPARTMENT,6/21/2024,BRONX,SCHOOL SAFETY AGENT,ACTIVE,39206,per Annum,1996.57,37072.38,178.5,4891.08,1572.92,FALSE,FALSE
2025,56,POLICE DEPARTMENT,6/21/2024,BRONX,SCHOOL SAFETY AGENT,ACTIVE,39206,per Annum,1996.57,37076.63,104.5,2877.22,1545.57,FALSE,FALSE
2025,56,POLICE DEPARTMENT,6/21/2024,BRONX,SCHOOL SAFETY AGENT,ACTIVE,39206,per Annum,1996.57,37026.44,471.5,12998.24,1500,FALSE,FALSE
2025,56,POLICE DEPARTMENT,6/21/2024,BRONX,SCHOOL SAFETY AGENT,ACTIVE,39206,per Annum,1996.57,36988.04,216,5963.01,1572.92,FALSE,FALSE
2025,56,POLICE DEPARTMENT,6/21/2024,BRONX,SCHOOL SAFETY AGENT,ACTIVE,39206,per Annum,1996.57,36988.04,151.75,4182.61,1632.17,FALSE,FALSE
2025,56,POLICE DEPARTMENT,6/21/2024,BRONX,SCHOOL SAFETY AGENT,ACTIVE,39206,per Annum,1996.57,36229.15,283.75,7828.18,1500,FALSE,FALSE
2025,56,POLICE DEPARTMENT,6/21/2024,BRONX,SCHOOL SAFETY AGENT,ACTIVE,39206,per Annum,1811.42,31065.31,37.25,1043.87,1564.86,FALSE,FALSE
2025,56,POLICE DEPARTMENT,6/21/2024,BRONX,SCHOOL SAFETY AGENT,ACTIVE,39206,per Annum,1996.57,35985.75,261,7191.95,1707.97,FALSE,FALSE
2025,56,POLICE DEPARTMENT,6/21/2024,BRONX,SCHOOL SAFETY AGENT,ACTIVE,39206,per Annum,1996.57,37072.38,242.75,6681.03,1500,FALSE,FALSE
2025,57,FIRE DEPARTMENT,6/3/2024,BRONX,EMERGENCY MEDICAL SPECIALIST-EMT,ACTIVE,39386,per Annum,2237.25,39818.66,38.75,1090.36,5283.36,FALSE,FALSE
